id,repo,entity_type,capability_bucket,connection_strength,n_msgs,n_unique_speakers,difficulty
MarionetteJS_2014-03-25_pr_1053,marionettejs/backbone.marionette,pr,C2,2,26,3,easy_strong
MarionetteJS_2014-03-25_pr_937,marionettejs/backbone.marionette,pr,C6,2,42,3,easy_loose
MonoGame_2016-02-05_artifact_3198,monogame/monogame,issue,C4,2,8,2,hard
MonoGame_2016-02-12_pr_320,opentk/opentk,pr,C6,2,11,2,hard
MonoGame_2016-02-26_artifact_3891,monogame/monogame,pr,C1,3,26,5,hard
MonoGame_2016-03-07_artifact_4583,monogame/monogame,issue,C5,3,13,3,easy_loose
MonoGame_2016-03-19_issue_4457,monogame/monogame,issue,C4,3,6,2,hard
MonoGame_2016-05-25_pr_84,monogame/monogame.dependencies,pr,C1,3,21,4,easy_loose
MonoGame_2016-06-11_artifact_4756,monogame/monogame,issue,C5,3,3,2,hard
MonoGame_2016-06-11_artifact_4780,monogame/monogame,issue,C6,2,3,2,hard
MonoGame_2016-06-11_artifact_4821,monogame/monogame,issue,C6,2,3,2,hard
MonoGame_2016-06-30_artifact_4959,monogame/monogame,pr,C5,3,4,3,easy_loose
MonoGame_2016-07-08_artifact_4561,monogame/monogame,pr,C6,2,23,2,hard
MonoGame_2016-07-14_artifact_4904,monogame/monogame,pr,C3,3,12,2,hard
MonoGame_2016-07-30_artifact_5023,monogame/monogame,issue,C1,3,54,6,hard
MonoGame_2016-08-30_artifact_4698,monogame/monogame,issue,C1,3,27,6,easy_loose
MonoGame_2016-10-01_artifact_5204,monogame/monogame,pr,C3,3,15,2,easy_loose
MonoGame_2016-10-23_artifact_4730,monogame/monogame,issue,C4,2,102,3,hard
MonoGame_2016-11-10_artifact_4904,monogame/monogame,pr,C3,3,22,2,hard
MonoGame_2016-11-21_artifact_5310,monogame/monogame,pr,C3,3,14,3,easy_loose
MonoGame_2016-11-21_commit_dc05c19b1493616330cfad9381407c482b50d7ea,monogame/monogame,commit,C7,2,14,3,hard
MonoGame_2016-12-06_artifact_4904,monogame/monogame,pr,C6,2,6,3,hard
MonoGame_2016-12-07_artifact_5333,monogame/monogame,pr,C4,3,12,7,easy_loose
MonoGame_2016-12-17_artifact_5262,monogame/monogame,issue,C3,3,11,2,hard
MonoGame_2017-01-06_commit_979fe4c1d7c2b48e7d94655a331a7b269c7b4352,monogame/monogame,commit,C7,3,43,7,hard
MonoGame_2017-01-07_artifact_5399,monogame/monogame,pr,C3,3,11,2,easy_loose
MonoGame_2017-01-08_artifact_5218,monogame/monogame,pr,C4,2,7,2,hard
MonoGame_2017-02-15_artifact_5429,monogame/monogame,pr,C3,3,5,4,easy_loose
MonoGame_2017-02-21_commit_ee84f98c095e99cb3e309849e57a654678d372aa,monogame/monogame,commit,C7,2,8,4,hard
MonoGame_2017-02-23_artifact_4920,monogame/monogame,pr,C6,2,17,2,easy_loose
MonoGame_2017-02-25_artifact_5489,monogame/monogame,pr,C3,3,7,3,easy_loose
MonoGame_2017-02-27_artifact_5468,monogame/monogame,pr,C3,3,39,4,easy_loose
MonoGame_2017-03-01_issue_4399,monogame/monogame,issue,C4,3,28,4,hard
MonoGame_2017-03-03_artifact_5541,monogame/monogame,pr,C3,3,29,8,easy_loose
MonoGame_2017-03-04_artifact_5381,monogame/monogame,issue,C3,3,6,3,hard
MonoGame_2017-03-11_issue_5109,monogame/monogame,issue,C3,3,15,2,hard
MonoGame_2017-03-16_artifact_5522,monogame/monogame,pr,C1,2,13,4,easy_loose
MonoGame_2017-03-16_artifact_5589,monogame/monogame,pr,C3,3,22,4,easy_loose
MonoGame_2017-03-16_issue_5302,monogame/monogame,issue,C4,2,6,4,easy_loose
MonoGame_2017-03-27_artifact_5625,monogame/monogame,pr,C3,3,40,3,hard
MonoGame_2017-04-26_issue_5411,monogame/monogame,issue,C4,3,15,3,hard
MonoGame_2017-05-02_commit_47b1b18444a21536b99b66470527a5bdf00a051c,monogame/monogame,commit,C7,2,21,4,hard
MonoGame_2017-05-02_issue_5688,monogame/monogame,issue,C6,2,3,2,easy_loose
MonoGame_2017-05-11_artifact_5354,monogame/monogame,pr,C1,3,33,6,easy_loose
MonoGame_2017-05-12_pr_5537,monogame/monogame,pr,C3,3,82,3,hard
MonoGame_2017-05-16_artifact_5302,monogame/monogame,issue,C4,3,12,7,easy_loose
MonoGame_2017-05-18_commit_d50d1088781d1a3f45ae6c9d71e43e25676f83c1,nkast/monogame,commit,C7,3,62,4,hard
MonoGame_2017-05-29_artifact_5712,monogame/monogame,pr,C1,3,44,4,hard
MonoGame_2017-06-07_artifact_5647,monogame/monogame,issue,C5,3,5,2,hard
MonoGame_2017-06-07_issue_5307,monogame/monogame,issue,C5,3,8,2,hard
MonoGame_2017-06-12_artifact_5410,monogame/monogame,pr,C1,3,17,5,hard
MonoGame_2017-06-16_artifact_5410,monogame/monogame,pr,C6,2,10,2,hard
MonoGame_2017-06-26_artifact_5653,monogame/monogame,issue,C5,3,25,3,hard
MonoGame_2017-07-12_artifact_5809,monogame/monogame,pr,C1,3,84,9,easy_loose
MonoGame_2017-07-19_issue_5822,monogame/monogame,issue,C6,2,6,2,easy_loose
MonoGame_2017-08-29_pr_109,monogame/monogame.dependencies,pr,C3,3,3,3,easy_medium
MonoGame_2017-09-01_pr_5816,monogame/monogame,pr,C1,2,107,7,easy_loose
MonoGame_2017-09-09_artifact_5437,monogame/monogame,pr,C1,3,35,5,hard
MonoGame_2017-09-22_artifact_5954,monogame/monogame,pr,C6,2,4,2,easy_strong
MonoGame_2017-10-08_pr_5993,monogame/monogame,pr,C6,2,16,3,easy_strong
MonoGame_2017-11-21_artifact_6065,monogame/monogame,pr,C3,3,18,4,easy_loose
MonoGame_2017-12-01_pr_6010,monogame/monogame,pr,C3,3,28,4,hard
MonoGame_2017-12-06_artifact_6099,monogame/monogame,pr,C3,3,9,3,easy_loose
MonoGame_2017-12-06_issue_5339,monogame/monogame,issue,C5,3,29,5,hard
MonoGame_2017-12-13_artifact_5995,monogame/monogame,pr,C6,2,13,2,easy_loose
MonoGame_2018-01-10_pr_6102,monogame/monogame,pr,C5,3,7,3,hard
MonoGame_2018-03-13_issue_16,watercolor-games/the-peacenet,issue,C5,3,12,3,easy_loose
MonoGame_2018-04-26_artifact_4446,monogame/monogame,issue,C5,3,11,2,hard
MonoGame_2018-05-12_artifact_5378,monogame/monogame,pr,C5,3,3,2,hard
MonoGame_2018-06-11_artifact_4571,monogame/monogame,issue,C1,3,10,4,easy_loose
MonoGame_2018-07-26_pr_6383,monogame/monogame,pr,C3,3,7,2,easy_loose
MonoGame_2018-10-24_issue_60,dotnet/announcements,issue,C3,3,26,2,hard
MonoGame_2018-11-01_issue_6180,monogame/monogame,issue,C5,3,11,4,hard
MonoGame_2018-11-11_artifact_6497,monogame/monogame,issue,C3,3,11,3,hard
MonoGame_2019-01-06_commit_d23eb1a416acdc8671ec118dbbb5c3a1bf9586fb,jjagg/monogame,commit,C7,3,6,3,hard
MonoGame_2019-02-14_artifact_6324,monogame/monogame,issue,C1,3,8,5,hard
MonoGame_2019-03-08_commit_fb213e4bac445484d80bbde8888520ba83cfcf1f,assimp/assimp,commit,C7,3,8,3,hard
MonoGame_2019-07-10_artifact_6691,monogame/monogame,issue,C3,3,3,2,hard
MonoGame_2019-08-03_artifact_6824,monogame/monogame,pr,C6,2,3,2,easy_loose
MonoGame_2019-09-24_artifact_6850,monogame/monogame,issue,C4,3,15,2,hard
Perfect_2016-01-25_pr_81,perfectlysoft/perfect,pr,C6,2,3,2,easy_medium
Perfect_2016-04-07_issue_147,perfectlysoft/perfect,issue,C5,3,3,2,easy_loose
Perfect_2016-06-22_issue_189,perfectlysoft/perfect,issue,C5,3,11,2,easy_loose
SciKit-Learn_2015-02-06_pr_4057,scikit-learn/scikit-learn,pr,C2,3,41,2,easy_loose
SciKit-Learn_2015-02-06_pr_4064,scikit-learn/scikit-learn,pr,C2,3,12,2,easy_loose
SciKit-Learn_2015-02-27_pr_4121,scikit-learn/scikit-learn,pr,C2,3,14,2,hard
SciKit-Learn_2015-02-27_pr_4182,scikit-learn/scikit-learn,pr,C2,2,11,2,easy_loose
SciKit-Learn_2015-03-02_issue_4301,scikit-learn/scikit-learn,pr,C5,3,22,3,easy_loose
SciKit-Learn_2015-03-02_issue_4309,scikit-learn/scikit-learn,pr,C2,2,14,2,easy_loose
SciKit-Learn_2015-03-02_pr_4320,scikit-learn/scikit-learn,pr,C2,2,34,3,easy_strong
SciKit-Learn_2015-03-03_pr_3758,scikit-learn/scikit-learn,pr,C2,2,6,2,hard
SciKit-Learn_2015-03-05_pr_4228,scikit-learn/scikit-learn,pr,C2,3,30,3,easy_loose
SciKit-Learn_2015-03-06_pr_4322,scikit-learn/scikit-learn,pr,C4,2,3,2,easy_medium
SciKit-Learn_2015-03-09_pr_4364,scikit-learn/scikit-learn,pr,C2,2,14,2,easy_strong
SciKit-Learn_2015-03-10_pr_4381,scikit-learn/scikit-learn,pr,C2,3,21,3,easy_strong
SciKit-Learn_2015-03-17_pr_4286,scikit-learn/scikit-learn,pr,C2,3,5,2,easy_loose
SciKit-Learn_2015-03-18_issue_4370,scikit-learn/scikit-learn,pr,C2,3,5,2,easy_loose
SciKit-Learn_2015-03-23_commit_3c4cc13b39fdb6a91be44a0977766e16d45ed5dc,ogrisel/scikit-learn,commit,C7,3,16,3,hard
SciKit-Learn_2015-03-23_pr_4436,scikit-learn/scikit-learn,pr,C2,3,15,4,easy_medium
SciKit-Learn_2015-03-24_issue_4445,scikit-learn/scikit-learn,issue,C2,2,5,2,easy_strong
UIKit_2015-01-30_issue_1685,fortawesome/font-awesome,issue,C2,3,4,2,easy_loose
UIKit_2015-02-09_issue_960,uikit/uikit,issue,C6,2,12,3,easy_strong
UIKit_2015-02-19_issue_974,uikit/uikit,pr,C2,3,6,3,easy_medium
UIKit_2015-02-23_issue_1006,uikit/uikit,issue,C5,3,26,5,easy_loose
amber_2017-09-21_artifact_274,amberframework/amber,pr,C4,2,4,3,easy_strong
amber_2017-10-18_artifact_314,amberframework/amber,pr,C1,3,28,7,easy_strong
amber_2017-10-23_issue_269,amberframework/amber,issue,C5,3,9,6,hard
amber_2017-11-14_issue_269,amberframework/amber,issue,C5,3,12,2,hard
amber_2017-11-15_pr_3634,crystal-lang/crystal,pr,C5,3,4,2,hard
amber_2017-12-11_issue_438,amberframework/amber,issue,C3,3,4,2,easy_loose
amber_2017-12-16_issue_441,amberframework/amber,issue,C4,2,33,7,easy_loose
amber_2017-12-25_pr_459,amberframework/amber,pr,C6,2,5,3,easy_medium
amber_2017-12-26_pr_358,amberframework/amber,pr,C1,3,14,4,easy_loose
amber_2017-12-31_artifact_19,amberframework/jasper-helpers,pr,C1,3,22,4,hard
amber_2018-01-10_pr_5543,crystal-lang/crystal,pr,C6,2,21,4,easy_loose
amber_2018-01-12_issue_476,amberframework/amber,issue,C1,3,9,4,easy_loose
amber_2018-01-12_pr_497,amberframework/amber,pr,C6,2,7,2,easy_loose
amber_2018-01-12_pr_506,amberframework/amber,pr,C6,2,23,3,easy_strong
amber_2018-01-13_pr_21895,homebrew/homebrew-core,pr,C4,3,11,3,easy_loose
amber_2018-01-13_pr_511,amberframework/amber,pr,C4,3,10,4,easy_medium
amber_2018-01-13_pr_514,amberframework/amber,pr,C6,2,10,4,easy_strong
amber_2018-01-14_issue_520,amberframework/amber,issue,C3,3,11,2,easy_loose
amber_2018-01-14_pr_457,amberframework/amber,pr,C3,3,14,2,easy_loose
amber_2018-01-14_pr_531,amberframework/amber,pr,C3,3,21,2,easy_loose
amber_2018-01-15_pr_403,amberframework/amber,pr,C4,2,6,2,hard
amber_2018-01-17_issue_420,amberframework/amber,issue,C3,3,8,2,easy_loose
amber_2018-01-19_pr_442,amberframework/amber,pr,C6,2,39,5,easy_loose
amber_2018-01-20_issue_476,amberframework/amber,issue,C6,2,3,2,easy_loose
amber_2018-01-20_issue_522,amberframework/amber,issue,C4,3,75,7,easy_loose
amber_2018-01-20_issue_553,amberframework/amber,issue,C3,3,18,3,easy_loose
amber_2018-01-22_pr_568,amberframework/amber,pr,C5,3,9,3,easy_loose
amber_2018-01-28_issue_585,amberframework/amber,issue,C3,3,12,2,easy_loose
amber_2018-01-28_pr_132,will/crystal-pg,pr,C1,3,21,7,easy_loose
amber_2018-01-31_pr_574,amberframework/amber,pr,C5,3,23,4,easy_loose
amber_2018-02-01_artifact_603,amberframework/amber,pr,C6,2,13,2,easy_loose
amber_2018-02-09_issue_476,amberframework/amber,issue,C1,3,11,6,hard
amber_2018-02-11_issue_4676,crystal-lang/crystal,issue,C5,3,23,3,hard
amber_2018-02-12_artifact_611,amberframework/amber,pr,C1,2,44,4,easy_loose
amber_2018-02-12_artifact_644,amberframework/amber,pr,C6,2,5,3,easy_loose
amber_2018-02-12_issue_144,crystal-lang/shards,issue,C3,3,20,3,hard
amber_2018-02-14_pr_432,amberframework/amber,pr,C4,3,8,2,hard
amber_2018-02-17_issue_56,amberframework/amber,issue,C3,3,13,3,easy_loose
amber_2018-02-24_issue_467,amberframework/amber,issue,C6,2,8,2,easy_loose
amber_2018-03-04_issue_476,amberframework/amber,issue,C3,3,14,3,hard
amber_2018-03-04_pr_367,amberframework/amber,pr,C6,2,4,2,hard
amber_2018-03-07_issue_617,amberframework/amber,issue,C6,2,61,3,easy_loose
amber_2018-03-12_issue_692,amberframework/amber,issue,C5,3,17,3,easy_loose
amber_2018-04-07_issue_699,amberframework/amber,issue,C3,3,15,3,easy_loose
amber_2018-04-08_pr_171,amberframework/granite,pr,C3,3,14,3,easy_loose
amber_2018-04-10_issue_592,amberframework/amber,issue,C1,3,55,6,hard
amber_2018-04-10_pr_740,amberframework/amber,pr,C1,3,39,6,easy_strong
amber_2018-04-11_pr_318,amberframework/amber,pr,C3,3,16,2,hard
amber_2018-04-11_pr_452,amberframework/amber,pr,C6,2,16,2,hard
amber_2018-04-12_commit_55d5e5112bd6aab4c7687045efbbb1ae64125487,amberframework/amber,commit,C7,3,6,2,hard
amber_2018-04-16_issue_273,amberframework/amber,issue,C6,2,6,2,hard
amber_2018-04-17_pr_132,amberframework/granite,pr,C6,2,6,3,hard
amber_2018-04-26_issue_773,amberframework/amber,issue,C5,3,9,3,easy_loose
amber_2018-05-04_pr_660,amberframework/amber,pr,C6,2,4,2,hard
amber_2018-05-14_issue_476,amberframework/amber,issue,C4,3,6,2,hard
amber_2018-05-14_pr_201,amberframework/granite,pr,C6,2,7,2,easy_loose
amber_2018-05-23_issue_5291,crystal-lang/crystal,issue,C3,3,3,2,easy_loose
amber_2018-05-27_pr_3229,techempower/frameworkbenchmarks,pr,C4,2,7,3,easy_loose
amber_2018-05-30_pr_808,amberframework/amber,pr,C6,2,13,3,easy_loose
amber_2018-06-01_issue_5430,crystal-lang/crystal,issue,C3,3,9,2,hard
amber_2018-06-01_issue_5831,crystal-lang/crystal,issue,C5,3,24,2,hard
amber_2018-06-17_issue_320,amberframework/amber,issue,C6,2,6,2,hard
amber_2018-06-18_issue_465,amberframework/amber,issue,C4,2,11,3,easy_loose
amber_2018-06-18_pr_231,amberframework/granite,pr,C6,2,21,3,easy_medium
amber_2018-06-18_pr_857,amberframework/amber,pr,C6,2,4,3,easy_medium
amber_2018-06-19_issue_857,amberframework/amber,pr,C4,3,36,5,easy_loose
amber_2018-06-21_pr_879,amberframework/amber,pr,C1,3,32,5,easy_strong
amber_2018-06-23_pr_139,amberframework/granite,pr,C1,3,27,4,hard
amber_2018-06-26_issue_778,amberframework/amber,issue,C5,3,6,2,hard
amber_2018-07-05_commit_82eecb23d23094457f9ee8c14d2db7e102d166f1,amberframework/amber,commit,C7,3,21,4,hard
amber_2018-07-16_issue_254,amberframework/granite,issue,C1,2,24,5,easy_loose
amber_2018-08-18_pr_5776,crystal-lang/crystal,pr,C3,3,29,3,hard
amber_2018-08-26_issue_941,amberframework/amber,issue,C1,3,48,7,easy_strong
amber_2018-08-28_pr_274,amberframework/granite,pr,C5,3,18,6,easy_loose
amber_2018-08-29_commit_8d8eadc5d1f4da649afd31cfb4b94b81636578d4,amberframework/granite,commit,C7,3,25,3,hard
amber_2018-09-27_artifact_865,amberframework/amber,pr,C3,3,6,2,hard
amber_2018-09-27_artifact_903,amberframework/amber,pr,C5,3,6,2,hard
amber_2018-11-04_pr_973,amberframework/amber,pr,C4,3,6,3,easy_loose
amber_2018-12-13_issue_3,amberframework/jasper-helpers,issue,C6,2,7,3,hard
amber_2018-12-30_pr_6967,crystal-lang/crystal,pr,C6,2,41,2,hard
amber_2019-01-02_issue_760,amberframework/amber,issue,C6,2,3,2,hard
amber_2019-01-05_issue_943,amberframework/amber,issue,C5,3,22,2,hard
amber_2019-01-07_issue_7274,crystal-lang/crystal,issue,C3,3,11,3,easy_loose
amber_2019-02-20_issue_220,imdrasil/jennifer.cr,issue,C6,2,5,2,easy_medium
amber_2019-04-02_pr_1155,the-benchmarker/web-frameworks,pr,C6,2,24,2,easy_medium
amber_2019-04-13_issue_152,amberframework/granite,issue,C1,3,20,5,hard
amber_2019-04-18_pr_7610,crystal-lang/crystal,pr,C4,3,10,3,easy_loose
amber_2019-04-21_pr_1091,amberframework/amber,pr,C3,3,26,3,easy_loose
amber_2019-04-27_issue_7722,crystal-lang/crystal,issue,C5,3,6,3,easy_loose
amber_2019-05-14_issue_333,amberframework/granite,issue,C3,3,14,3,easy_loose
amber_2019-05-31_commit_cb02557b8753d6a310b9162d6e4b0a3ea607fe76,amberframework/amber,commit,C7,3,20,3,hard
amber_2019-05-31_pr_1109,amberframework/amber,pr,C5,3,20,3,easy_loose
amber_2019-06-05_pr_7818,crystal-lang/crystal,pr,C3,3,6,2,easy_loose
amber_2019-06-06_issue_337,amberframework/granite,issue,C3,3,13,3,easy_loose
amber_2019-06-06_pr_1114,amberframework/amber,pr,C3,3,13,3,easy_loose
amber_2019-07-10_pr_12,amberframework/garnet-spec,pr,C4,2,23,3,easy_loose
amber_2019-09-27_issue_44,amberframework/micrate,issue,C5,3,3,2,easy_loose
appium_2014-11-10_pr_3915,appium/appium,pr,C2,3,5,2,easy_loose
appium_2014-11-25_pr_3915,appium/appium,pr,C2,2,14,5,easy_loose
appium_2015-01-29_issue_3956,appium/appium,issue,C2,2,15,3,hard
appium_2015-03-13_issue_3218,appium/appium,issue,C5,3,14,3,hard
appium_2015-05-11_pr_4851,appium/appium,pr,C4,3,17,3,hard
appium_2015-08-28_issue_208,appium/java-client,issue,C3,3,22,3,hard
appium_2015-08-28_issue_5285,appium/appium,issue,C2,3,22,3,easy_loose
appium_2015-11-03_issue_5209,appium/appium,issue,C2,3,14,2,hard
appium_2015-12-16_issue_5054,appium/appium,issue,C1,2,21,6,hard
appium_2016-08-02_issue_27,appium/java-client,issue,C4,2,10,3,hard
appium_2016-10-18_issue_4824,appium/appium,issue,C2,2,17,3,hard
appium_2017-02-08_issue_7551,appium/appium,issue,C4,2,33,3,hard
appium_2017-03-21_issue_2721,grpc/grpc-java,issue,C1,2,46,6,hard
appium_2017-03-24_issue_7328,appium/appium,issue,C1,2,15,5,hard
appium_2017-05-12_issue_7377,appium/appium,issue,C4,3,10,2,hard
appium_2017-06-01_issue_7977,appium/appium,issue,C4,3,7,2,hard
appium_2017-06-21_issue_6864,appium/appium,issue,C4,3,24,2,hard
appium_2017-06-21_pr_7548,appium/appium,pr,C2,3,24,2,hard
appium_2017-06-27_issue_6762,appium/appium,issue,C4,2,8,2,hard
appium_2017-06-29_issue_7713,appium/appium,issue,C2,3,55,3,hard
appium_2017-09-21_issue_9259,appium/appium,issue,C4,3,5,2,easy_loose
appium_2017-11-07_issue_9544,appium/appium,issue,C2,3,6,2,easy_loose
appium_2017-11-23_issue_7688,appium/appium,issue,C6,2,4,3,hard
appium_2018-01-03_issue_4707,appium/appium,issue,C2,3,15,3,hard
appium_2018-01-14_issue_7179,appium/appium,issue,C2,3,27,2,hard
appium_2018-02-26_commit_b1770f6217ef752909e4e3a13bdec6bb4d89f79a,appium/java-client,commit,C7,2,49,5,hard
appium_2018-03-13_issue_773,appium/java-client,issue,C1,2,5,4,hard
appium_2018-10-02_issue_6186,appium/appium,issue,C2,3,32,3,hard
appium_2018-10-22_issue_9676,appium/appium,issue,C1,2,10,4,hard
appium_2019-09-30_issue_10418,appium/appium,issue,C5,3,3,2,hard
aws-sdk-go_2016-08-08_commit_1664dc43ec558f311f930db1eb549021689fcabd,aws/aws-sdk-go,commit,C7,3,28,3,hard
aws-sdk-go_2017-03-01_artifact_409,aws/aws-sdk-go,issue,C6,2,28,2,hard
aws-sdk-go_2017-09-18_artifact_1391,aws/aws-sdk-go,issue,C2,3,4,2,hard
aws-sdk-go_2017-11-07_pr_1554,aws/aws-sdk-go,pr,C2,2,31,3,easy_loose
bootstrap_2016-01-06_issue_7501,twbs/bootstrap,issue,C4,2,5,2,hard
bootstrap_2016-10-28_issue_18510,twbs/bootstrap,issue,C1,3,14,4,hard
bootstrap_2019-05-15_issue_28767,twbs/bootstrap,issue,C6,2,48,3,easy_loose
corefx_2015-02-12_issue_55,dotnet/codeformatter,issue,C5,3,17,3,easy_loose
corefx_2015-02-19_commit_6463232f87812df994d59b76e972fd25eac93285,microsoft/referencesource,commit,C7,3,7,4,hard
corefx_2015-03-11_pr_1040,dotnet/corefx,pr,C6,2,4,3,easy_loose
corefx_2015-04-16_artifact_1417,dotnet/corefx,pr,C2,3,6,2,hard
corefx_2015-04-30_artifact_1586,dotnet/corefx,pr,C3,3,16,3,hard
corefx_2015-04-30_commit_38140d6082ef5d3bca44533495bef623701cdfda,dotnet/corefx,commit,C7,3,16,3,hard
corefx_2015-05-04_issue_2,netflix/fido,issue,C5,3,4,3,easy_loose
corefx_2015-06-27_pr_2182,dotnet/corefx,pr,C2,2,11,4,easy_loose
corefx_2015-06-30_artifact_2197,dotnet/corefx,pr,C2,2,4,2,hard
corefx_2015-12-11_issue_1959,nancyfx/nancy,issue,C5,3,7,3,hard
corefx_2016-05-17_commit_cd2e50518ba949d728367ab8aee78810a261de3b,jimbobsquarepants/imageprocessor,commit,C7,3,58,7,hard
corefx_2016-06-15_issue_10,robinsedlaczek/forcefeedbackprogramming,issue,C3,3,8,5,easy_loose
corefx_2016-07-13_pr_6,autofac/autofac.extras.moq,pr,C5,3,15,5,easy_loose
corefx_2016-09-22_pr_951,dotnet/buildtools,pr,C2,3,11,3,hard
corefx_2017-09-23_pr_1779,dotnet/corefxlab,pr,C2,3,13,2,easy_loose
corefx_2018-01-03_commit_6bcebfd56e67c9e32d4b40e246ed51c1d762e9d9,omermor/asyncbridge,commit,C7,3,27,2,hard
corefx_2018-01-03_commit_f97269a5679dd1d85565f52dbcdd3522fc71e62c,omermor/asyncbridge,commit,C7,3,27,2,hard
corefx_2018-08-09_issue_12410,brave/browser-laptop,issue,C1,3,11,4,easy_loose
corefx_2018-09-15_issue_870,dotnet/standard,issue,C1,3,22,5,hard
corefx_2019-01-18_issue_99,dotnet/csharplang,issue,C1,3,34,4,hard
corefx_2019-02-28_issue_1106,dotnet/csharplang,issue,C3,3,5,2,hard
corefx_2019-04-02_pr_76,dotnet/apireviews,pr,C3,3,4,3,hard
corefx_2019-04-03_pr_76,dotnet/apireviews,pr,C3,3,7,3,hard
corefx_2019-05-10_issue_123,dotnet/platform-compat,issue,C1,3,15,4,hard
corefx_2019-06-19_pr_3100,dotnet/arcade,pr,C1,3,15,4,easy_strong
corefx_2019-06-28_issue_130,dotnet/sqlclient,issue,C6,2,15,3,hard
corefx_2019-07-02_issue_4938,dotnet/project-system,issue,C4,2,15,4,easy_medium
corefx_2019-09-23_issue_4938,dotnet/project-system,issue,C2,3,12,2,easy_loose
corefx_2019-09-25_issue_10374,mono/mono,issue,C3,3,13,3,hard
deeplearning4j_2015-05-18_commit_a3704e3931d5a4380eed3698553751d92b3c50f1,deeplearning4j/deeplearning4j,commit,C7,3,29,2,hard
deeplearning4j_2015-05-18_pr_249,deeplearning4j/deeplearning4j,pr,C6,2,29,2,easy_loose
deeplearning4j_2015-06-14_pr_333,deeplearning4j/deeplearning4j,pr,C6,2,5,2,easy_strong
deeplearning4j_2015-06-18_issue_349,deeplearning4j/deeplearning4j,issue,C6,2,16,2,easy_loose
